Textbox12
From: 5/3/2020 4:30:00 PM  To:  5/4/2020 12:30:00 AM

IncidentDate,Location,Latitude1,Longitude1,IncidentTypeDescription1
5/3/2020 4:31:07 PM,901 KENWICK CT W,36.04687715,-86.96252641,ELECTRICAL HAZARD
5/3/2020 4:32:18 PM,8036 ARBOR DR,36.08249081,-86.94067952,ELECTRICAL HAZARD
5/3/2020 4:32:23 PM,119 DUE WEST AV E,36.24802948,-86.71687484,NOT ALERT COPD
5/3/2020 4:33:04 PM,630 GALLATIN PKE S,36.25649117,-86.71481656,ABDOMINAL PAIN
5/3/2020 4:33:52 PM,615 W HILLWOOD DR,36.12968971,-86.87983392,ELECTRICAL HAZARD
5/3/2020 4:33:53 PM,622 BROOK HOLLOW RD,36.11177315,-86.88808690,ELECTRICAL HAZARD
5/3/2020 4:34:19 PM,JOCELYN HOLLOW RD / BRESSLYN RD,36.10331783,-86.89808005,ELECTRICAL HAZARD
5/3/2020 4:35:01 PM,WOODLAND ST / S 7TH ST,36.17358297,-86.76033878,SEIZURE: EFFECTIVE BREATHING NOT VERIFIED >35
5/3/2020 4:36:42 PM,3000 POSTON AV ,36.14533212,-86.81535642,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:37:04 PM,51ST AV N / CENTENNIAL BLVD,36.16232649,-86.84914406,ELECTRICAL HAZARD
5/3/2020 4:37:30 PM,3525 CENTRAL AV,36.13719328,-86.82527475,ELECTRICAL HAZARD
5/3/2020 4:37:40 PM,114 PROSPECT HL,36.11351304,-86.84309934,CITIZEN ASSIST UNKNOWN SITUATION
5/3/2020 4:37:53 PM,4911 ELKINS AV,36.14956595,-86.84688367,ELECTRICAL HAZARD
5/3/2020 4:38:45 PM,4313 ESTES RD,36.09759801,-86.83905099,PINNED OR TRAPPED VICTIM:
5/3/2020 4:39:11 PM,2801 WHITE OAK DR,36.12204691,-86.81216275,ELECTRICAL HAZARD
5/3/2020 4:39:18 PM,2108 W LINDEN AV,36.12774692,-86.80484648,ELECTRICAL HAZARD
5/3/2020 4:39:33 PM,2106 FAIRFAX AV ,36.13438404,-86.80214937,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:39:57 PM,8715 OLD HARDING PKE,36.01252365,-87.02458404,ELECTRICAL HAZARD
5/3/2020 4:40:05 PM,188 THOMPSON LN ,36.11085927,-86.73930659,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:41:02 PM,836 HILLWOOD BLVD,36.13758141,-86.87858143,ELECTRICAL HAZARD
5/3/2020 4:41:33 PM,6535 MARAUDER DR,36.14486939,-86.88856094,ELECTRICAL HAZARD
5/3/2020 4:42:01 PM,3718 WOODMONT LN,36.11183076,-86.83812955,ELECTRICAL HAZARD
5/3/2020 4:42:13 PM,1310 24TH AV S,36.14208388,-86.80394548,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:43:10 PM,5105 BLUE HOLE RD,36.05228296,-86.67275210,GENERAL ALARM HIGH LIFE HAZARD
5/3/2020 4:43:33 PM,4206 BELMONT PARK TER,36.09992860,-86.80509995,ELECTRICAL HAZARD
5/3/2020 4:43:37 PM,607B LARKIN SPRINGS RD ,36.25356216,-86.68572525,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:43:59 PM,102 ROSE ST,36.12313724,-86.74049252,ELECTRICAL HAZARD
5/3/2020 4:44:27 PM,517 BROOK HOLLOW RD,36.10903778,-86.88860883,ELECTRICAL HAZARD
5/3/2020 4:44:40 PM,5025 EDMONDSON PKE,36.07035391,-86.73500360,ELECTRICAL HAZARD
5/3/2020 4:45:51 PM,6007 CLOVERLAND DR,36.03042624,-86.74840252,ELECTRICAL HAZARD
5/3/2020 4:46:03 PM,SEWANEE RD / TYNE BLVD,36.08070467,-86.79905395,NO INJURIES (UNCONFIRMED OR >5 PERSONS INVOLVED
5/3/2020 4:46:03 PM,SEWANEE RD / TYNE BLVD,36.08070467,-86.79905395,NO INJURIES (UNCONFIRMED OR >5 PERSONS INVOLVED
5/3/2020 4:46:29 PM,531 DONELSON PKE ,36.14663736,-86.66577737,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:46:40 PM,60 TUSCULUM RD,36.05305774,-86.67851621,RESIDENTIAL FIRE
5/3/2020 4:47:08 PM,16 N HILL ST,36.14534398,-86.76158688,ELECTRICAL HAZARD
5/3/2020 4:47:29 PM,HARDING PL / NOLENSVILLE PKE,36.07961512,-86.72632246,MVA INJURIES:
5/3/2020 4:48:18 PM,555 MARRIOTT DR ,36.15110770,-86.68992140,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:48:53 PM,511 ELBA DR,36.32965577,-86.69501221,ELECTRICAL HAZARD
5/3/2020 4:49:06 PM,500 CHEYENNE BLVD,36.25961447,-86.67873307,UNCONFIRMED ENTRAPMENT SMALL BUILDING
5/3/2020 4:49:30 PM,S DOUGLAS AV / ELLIOTT AV,36.13112529,-86.78106147,ELECTRICAL HAZARD
5/3/2020 4:49:38 PM,854 KIRKWOOD AV,36.12079999,-86.78232810,ELECTRICAL HAZARD
5/3/2020 4:49:41 PM,3960 BELL RD ,36.16647754,-86.60379043,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
