Textbox12
From: 3/3/2020 12:30:00 AM  To:  3/3/2020 5:00:00 AM

IncidentDate,Location,Latitude1,Longitude1,IncidentTypeDescription1
3/3/2020 12:36:34 AM,6205 COCKRILL BEND CIR ,36.18200191,-86.89405212,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:37:24 AM,7337 COCKRILL BEND BLVD ,36.17566600,-86.89497757,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:38:17 AM,110 TUNE AIRPORT DR ,36.17929946,-86.88372740,STRUCTURE FIRE COMMERCIAL   INDUSTRIAL
3/3/2020 12:39:40 AM,555 MARRIOTT DR ,36.15110770,-86.68992140,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:39:42 AM,1414 COUNTY HOSPITAL RD ,36.17792604,-86.84593411,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:40:11 AM,1406 COUNTY HOSPITAL RD ,36.17826403,-86.85046364,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:41:31 AM,920 BROADWAY ,36.15834714,-86.78420653,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:42:30 AM,518 MONROE ST ,36.17651927,-86.79023324,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:42:51 AM,1625 DR D B TODD JR BLVD ,36.17563012,-86.80965428,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:42:51 AM,1625 DR D B TODD JR BLVD ,36.17563012,-86.80965428,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:43:03 AM,915 3RD AV N,36.17301452,-86.78362257,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:43:06 AM,415 CHURCH ST,36.16335692,-86.77953739,UNKNOWN STATUS
3/3/2020 12:43:30 AM,901 MONROE ST ,36.17474536,-86.79388141,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:43:57 AM,1603 COCKRILL ST ,36.17496639,-86.80550802,GENERAL ALARM HOUSE
3/3/2020 12:44:02 AM,1000 ROSA L PARKS BLVD ,36.17248037,-86.79013391,SMOKE DETECTOR ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:44:02 AM,1000 ROSA L PARKS BLVD ,36.17248037,-86.79013391,SMOKE DETECTOR ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:44:29 AM,557 REVELS DR,36.22003462,-86.80646976,CHEST PAIN - ABNORMAL BREATHING
3/3/2020 12:44:49 AM,7337 COCKRILL BEND BLVD,36.17566600,-86.89497757,BUILDING ENTRAPMENT  UNCONFIRMED
3/3/2020 12:45:08 AM,2ND AV N / JEFFERSON ST,36.17529885,-86.78362579,CONFINED SPACE ENTRAPMENT  CONFIRMED
3/3/2020 12:45:10 AM,7135 CENTENNIAL PL,36.17689288,-86.87994905,INSIDE FUEL ODOR
3/3/2020 12:45:54 AM,299 COWAN ST ,36.17593530,-86.77716624,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:46:10 AM,1514 17TH AV N,36.17412456,-86.80603032,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 12:46:33 AM,201 GIFFORD PL,36.32340396,-86.86764056,DEFECATION / DIARRHEA
3/3/2020 12:46:48 AM,500 CHURCH ST ,36.16316970,-86.78049967,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:47:35 AM,900 MAIN ST ,36.17590211,-86.75702301,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:47:35 AM,900 MAIN ST ,36.17590211,-86.75702301,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:49:18 AM,1608 23RD AV N,36.17517812,-86.81316514,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 12:49:18 AM,1608 23RD AV N,36.17517812,-86.81316514,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 12:50:06 AM,1400 14TH AV N,36.17332280,-86.80201208,SMALL BUILDING INVESTIGATION
3/3/2020 12:50:46 AM,201 N 8TH ST ,36.17666019,-86.75898660,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:52:36 AM,JEFFERSON ST / ROSA L PARKS BLVD,36.17327863,-86.79141105,UNKNOWN ENTRAPMENT  CONFIRMED
3/3/2020 12:52:39 AM,300 DANYACREST DR ,36.18373335,-86.65014423,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:53:28 AM,99 SPRING ST,36.17659360,-86.77570254,UNCONFIRMED ENTRAPMENT LARGE BUIDING
3/3/2020 12:54:20 AM,1220 2ND AV N,36.17719181,-86.78468865,SMOKE DETECTOR ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:54:54 AM,1000 2ND AV N,36.17454080,-86.78266896,UNKNOWN ENTRAPMENT  CONFIRMED
3/3/2020 12:55:00 AM,909 ROSA L PARKS BLVD,36.17099214,-86.79012224,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 12:55:04 AM,1809 RUSSELL ST,36.17421975,-86.73759951,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 12:56:31 AM,5215 OLD HICKORY BLVD ,36.18895780,-86.61540928,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:56:54 AM,318 RIVERSIDE DR,36.17844450,-86.72624374,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 12:57:10 AM,1072 1ST AV N,36.17525492,-86.78192076,CONFIRMED ENTRAPMENT LARGE BUILDING
3/3/2020 12:57:14 AM,1211 6TH AV N,36.17494134,-86.78951591,CONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 12:57:15 AM,915 3RD AV N,36.17301452,-86.78362257,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 12:58:26 AM,1745 DR D B TODD JR BLVD,36.17916169,-86.81100635,CITIZEN ASSIST  NON MEDICAL
3/3/2020 12:59:53 AM,941 JEFFERSON ST,36.17241192,-86.79446944,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 1:00:26 AM,30 MCFERRIN AV,36.17722329,-86.75560670,UNCONFIRMED ENTRAPMENT LARGE BUIDING
3/3/2020 1:00:50 AM,2410 LAZENBY DR,36.17456310,-86.72055576,SMALL BUILDING INVESTIGATION
3/3/2020 1:01:26 AM,515 MADISON ST,36.17474678,-86.78915760,BUILDING ENTRAPMENT  CONFIRMED
3/3/2020 1:01:34 AM,1608 HOLLY ST,36.17519889,-86.74125834,APARTMENT NATURAL GAS ODOR
3/3/2020 1:03:53 AM,3008 WHITLAND CROSSING DR ,36.15453354,-86.66709554,PULL STATION ALARM HOUSE
3/3/2020 1:04:38 AM,2220 MAPLECREST DR,36.17819120,-86.69226210,CONFIRMED ENTRAP SMALL BUILDING  WITH HAZMAT
