zipcode,911_calls,population,call_rate,po_name,shape_stlength,shape_starea,geometry
37213,2,100,20,NASHVILLE,30678.54183,23392261.94,"MULTIPOLYGON (((-86.77787 36.17706, -86.77810 ..."
37220,39,5763,6.767309,NASHVILLE,121112.3401,235801795.5,"MULTIPOLYGON (((-86.76043 36.08004, -86.76043 ..."
37205,100,24785,4.034698,NASHVILLE,146801.8083,400978073,"MULTIPOLYGON (((-86.81907 36.13351, -86.81688 ..."
37204,58,14768,3.927411,NASHVILLE,93180.29225,200664795.5,"MULTIPOLYGON (((-86.77914 36.13424, -86.77923 ..."
37215,71,22414,3.167663,NASHVILLE,158698.3075,424774478.2,"MULTIPOLYGON (((-86.81428 36.12618, -86.81425 ..."
37076,123,38957,3.157327,HERMITAGE,3786.709805,675823.3478,"MULTIPOLYGON (((-86.52159 36.13816, -86.52174 ..."
37076,123,38957,3.157327,HERMITAGE,291751.4283,983805973.8,"MULTIPOLYGON (((-86.57085 36.13534, -86.57099 ..."
37214,89,30151,2.951809,NASHVILLE,165410.8055,674068994.3,"MULTIPOLYGON (((-86.65585 36.11824, -86.66410 ..."
37210,51,17935,2.843602,NASHVILLE,93234.88295,265638803.5,"MULTIPOLYGON (((-86.70788 36.16764, -86.70778 ..."
37219,3,1134,2.645503,NASHVILLE,21013.19234,6579013.439,"MULTIPOLYGON (((-86.78609 36.17465, -86.78585 ..."
37211,194,76834,2.524924,NASHVILLE,290587.5847,602215091.8,"MULTIPOLYGON (((-86.75696 36.13189, -86.75693 ..."
37217,73,31218,2.338395,NASHVILLE,179866.5685,517579208.1,"MULTIPOLYGON (((-86.67355 36.12729, -86.66687 ..."
37203,33,14232,2.318718,NASHVILLE,91285.43858,120649702.6,"MULTIPOLYGON (((-86.78734 36.16688, -86.78711 ..."
37013,191,97819,1.952586,ANTIOCH,349164.8803,1150567552,"MULTIPOLYGON (((-86.66517 36.09108, -86.66526 ..."
37212,38,21031,1.806857,NASHVILLE,58759.24365,73920091.15,"MULTIPOLYGON (((-86.80790 36.14643, -86.80605 ..."
37209,68,38794,1.752848,NASHVILLE,310224.9135,1001364029,"MULTIPOLYGON (((-86.97543 36.20877, -86.97221 ..."
37208,29,17582,1.649414,NASHVILLE,70573.70487,127811448.7,"MULTIPOLYGON (((-86.81084 36.19254, -86.81083 ..."
37189,6,3801,1.578532,WHITES CREEK,212443.8885,693260660.6,"MULTIPOLYGON (((-86.84400 36.32689, -86.83591 ..."
37207,55,38583,1.425498,NASHVILLE,14456.13069,6987521.093,"MULTIPOLYGON (((-86.78596 36.29097, -86.78595 ..."
37207,55,38583,1.425498,NASHVILLE,196775.601,556772811.3,"MULTIPOLYGON (((-86.75459 36.29021, -86.75465 ..."
37115,52,40484,1.284458,MADISON,178783.0249,596553400.6,"MULTIPOLYGON (((-86.68725 36.31821, -86.68722 ..."
37216,20,18609,1.074749,NASHVILLE,75820.99782,188884682.3,"MULTIPOLYGON (((-86.73451 36.23774, -86.73425 ..."
37221,43,40425,1.063698,NASHVILLE,241372.3113,1266395059,"MULTIPOLYGON (((-86.97084 36.11644, -86.97084 ..."
37206,27,25470,1.060071,NASHVILLE,75782.86212,221537063.6,"MULTIPOLYGON (((-86.75348 36.16274, -86.75383 ..."
37138,18,24229,0.742911,OLD HICKORY,133803.1073,398431173.9,"MULTIPOLYGON (((-86.61068 36.24413, -86.61039 ..."
37201,1,1372,0.728863,NASHVILLE,25670.55574,11151362.95,"MULTIPOLYGON (((-86.77973 36.17460, -86.77823 ..."
37218,10,15198,0.657981,NASHVILLE,253501.2995,1071962040,"MULTIPOLYGON (((-86.88231 36.26248, -86.88270 ..."
37080,4,7349,0.544292,JOELTON,258036.51,868231536.1,"MULTIPOLYGON (((-86.90742 36.39053, -86.90725 ..."
37080,4,7349,0.544292,JOELTON,2319.807424,56522.61145,"MULTIPOLYGON (((-86.86263 36.37811, -86.86264 ..."
37027,20,55130,0.362779,BRENTWOOD,3116.432715,304596.062,"MULTIPOLYGON (((-86.72012 36.00886, -86.72012 ."
